pressure,maxtemp,temperature,mintemp,dewpoint,humidity,cloud,sunshine,windspeed,wind_direct_category,rainfall
Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,W,yes
Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,E,yes
Medium,Medium,Medium,Medium,Medium,Low,Low,Medium,High,E,yes
Medium,Low,Medium,Medium,Medium,Medium,High,Low,High,E,yes
Medium,Low,Medium,Medium,Medium,High,High,Low,Medium,E,yes
Medium,High,Medium,Medium,Medium,High,Medium,Medium,Low,S,yes
Medium,High,High,High,High,Medium,Medium,Medium,Medium,S,no
Low,High,High,High,High,Medium,Medium,Medium,Medium,S,no
Medium,High,High,High,High,Medium,Low,Medium,Low,S,no
Medium,High,High,High,High,Medium,Medium,Medium,Low,S,no
Medium,High,High,High,High,Medium,Low,Medium,Medium,S,no
Low,Medium,Medium,Medium,Medium,High,Medium,Low,Low,S,yes
Low,Medium,Medium,Medium,Medium,Low,Low,High,High,E,no
Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,E,yes
Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,E,yes
Medium,Medium,Medium,Medium,Medium,High,High,Medium,High,E,yes
Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,E,yes
Medium,Medium,Medium,Medium,Medium,Low,Low,High,Medium,N,yes
Medium,Medium,Medium,Medium,Medium,Medium,High,Low,High,E,yes
Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,High,E,no
Low,Medium,Medium,Medium,Medium,High,High,Low,Medium,N,yes
Low,Medium,Medium,Medium,Medium,High,Medium,Medium,High,W,yes
Low,High,Medium,Medium,Medium,Low,Low,Medium,Low,N,no
Low,Medium,Medium,Medium,Medium,Medium,Low,Medium,Low,N,yes
Low,High,Medium,Medium,Medium,Medium,Low,High,Low,S,yes
Low,High,High,High,High,Medium,Low,High,Medium,E,yes
Low,Medium,Medium,High,High,Medium,Medium,Medium,High,E,yes
Low,Medium,Medium,High,High,High,High,Medium,High,E,yes
Low,Medium,High,Medium,High,High,High,Medium,Medium,S,yes
Low,High,High,High,High,Medium,Medium,Medium,Medium,S,yes
Low,High,High,High,High,Medium,Medium,High,Medium,S,yes
Low,High,High,High,High,Medium,Medium,High,High,S,no
Low,High,High,High,High,Medium,Medium,High,High,W,no
Low,High,High,High,High,Medium,Low,High,High,W,no
Low,High,High,High,High,Medium,Medium,Medium,High,S,yes
Low,High,High,Medium,High,Medium,Medium,Medium,Medium,S,yes
Low,High,Medium,Medium,Medium,High,High,Low,Low,N,yes
Low,Medium,Medium,Medium,High,High,Medium,Medium,Low,N,yes
Low,High,High,High,High,High,Medium,Medium,Low,N,yes
Low,Medium,Medium,Medium,High,High,Medium,Medium,Low,S,yes
Low,High,High,High,High,High,Medium,Medium,Low,S,yes
Low,Medium,Medium,Medium,High,High,Medium,Low,Medium,W,yes
Low,Medium,Medium,Medium,High,High,High,Low,High,S,yes
Low,High,High,High,High,Medium,High,Medium,Medium,S,yes
Low,High,High,High,High,Medium,High,Medium,High,S,yes
Low,High,High,High,High,Medium,High,Medium,Medium,W,yes
Low,High,High,High,High,Medium,Medium,High,Low,S,yes
Medium,High,High,High,High,Medium,Medium,Medium,Medium,S,yes
Medium,High,High,High,High,Medium,Low,High,Low,E,no
Low,High,High,High,High,Medium,Low,High,Low,S,yes
Low,High,High,High,High,Low,Low,High,Low,S,no
Low,High,High,High,High,Low,Low,High,Low,S,yes
Medium,High,High,High,High,High,Medium,Medium,Medium,S,yes
Low,High,High,High,High,Medium,Medium,High,High,S,yes
Low,High,High,High,High,High,High,Medium,Medium,E,yes
Low,Medium,Medium,Medium,High,High,High,Low,Medium,E,yes
Low,High,High,High,High,Low,Low,High,Low,W,yes
Low,High,High,High,High,Low,Low,High,Medium,W,no
Low,High,High,High,High,Low,Low,High,High,W,yes
Low,Medium,High,High,High,Medium,High,Low,Medium,W,yes
Low,High,High,Medium,High,High,Medium,Medium,Low,S,yes
Low,Medium,High,High,High,High,Medium,Low,Low,W,yes
Low,High,High,High,High,Medium,Medium,Medium,Medium,W,yes
Low,High,High,High,High,Medium,Low,High,High,W,yes
Low,High,High,High,High,Medium,Low,High,Medium,W,no
Low,High,High,High,High,Low,Medium,High,Medium,W,yes
Medium,High,High,High,High,Low,Low,High,Low,S,yes
Medium,High,High,High,High,Low,Low,High,Low,W,no
Low,High,High,High,High,Low,Low,High,Low,E,no
Low,High,High,High,High,Low,Low,High,Low,W,no
Low,High,High,High,High,Low,Low,Medium,Medium,W,yes
Low,High,High,High,High,Low,Low,High,Low,E,yes
Medium,High,High,High,High,Medium,Low,High,Low,N,no
Medium,High,High,High,High,Low,Low,High,Low,N,no
Low,High,High,High,Medium,Low,Low,Medium,Low,N,no
Low,High,High,High,Medium,Low,Low,High,Low,S,no
Low,High,High,High,Medium,Low,Low,High,Medium,W,no
Low,High,High,High,High,Low,Medium,High,High,S,yes
Low,High,High,Medium,High,Medium,High,Low,Medium,W,yes
Low,High,High,High,High,Medium,Medium,Medium,Low,S,yes
Low,Medium,High,High,High,High,Medium,Low,Medium,W,yes
Low,Medium,Medium,Medium,High,High,High,Low,Low,S,yes
Low,High,High,High,High,High,High,Low,Medium,W,yes
Low,High,High,High,High,Medium,Medium,High,Medium,W,yes
Low,High,High,High,High,Medium,Low,High,Medium,S,yes
Low,High,High,High,High,Medium,Low,Medium,Low,W,yes
Low,High,High,High,High,Low,Medium,High,Low,N,no
Low,High,High,High,High,Low,Low,Medium,Low,N,yes
Low,High,High,High,Medium,Low,Low,High,Low,S,yes
Low,High,High,High,Medium,Low,Low,High,Low,N,no
Low,High,High,High,High,Medium,Medium,Low,Medium,N,yes
Low,High,High,High,High,Medium,Medium,Medium,Low,S,no
Low,Medium,High,High,High,Medium,High,Medium,Low,W,yes
Low,Medium,Medium,High,High,High,High,Low,Low,S,yes
Low,Medium,Medium,High,High,High,High,Low,Low,N,yes
Low,Medium,Medium,Medium,High,High,High,Low,Low,E,yes
Medium,Medium,Medium,Medium,High,High,High,Low,Medium,E,yes
Medium,Medium,Medium,High,High,High,High,Low,Medium,E,yes
Medium,High,High,High,High,Medium,Low,High,Low,S,no
Low,High,High,High,Medium,Low,Low,High,High,E,no
Medium,High,High,High,Medium,Low,Low,High,High,E,yes
Medium,High,High,High,Medium,Low,Low,High,Medium,E,no
Medium,High,High,High,Medium,Low,Low,High,Medium,E,yes
Medium,High,High,High,Medium,Low,Low,Medium,Medium,E,yes
Medium,High,High,High,Medium,Low,Low,High,High,E,no
Medium,High,High,High,High,Medium,High,Medium,High,E,yes
Medium,High,High,High,Medium,Medium,Medium,High,High,E,yes
Medium,High,High,High,Medium,Low,Low,High,Low,E,yes
Medium,High,High,High,Medium,Medium,Low,Medium,Low,S,no
Low,Medium,Medium,Medium,Medium,Medium,High,Low,Low,S,yes
Low,High,High,High,High,High,Low,High,Low,E,yes
Low,High,High,High,High,Medium,Low,High,Low,E,yes
Low,High,High,High,High,High,Medium,Medium,Low,E,yes
Low,Medium,High,High,High,Medium,Medium,Medium,Low,E,yes
Low,High,High,High,Medium,Low,Low,High,Medium,N,no
Medium,High,High,High,High,Low,Medium,High,Low,S,yes
Medium,High,High,High,High,Medium,Medium,Medium,Low,N,yes
Medium,High,High,High,Medium,Low,Medium,Medium,High,N,yes
Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,E,yes
Medium,Medium,Medium,Medium,High,High,High,Low,High,E,yes
Medium,Medium,Medium,Medium,High,High,Medium,Low,Low,S,yes
Medium,Medium,High,High,Medium,Low,Low,High,Low,W,no
Medium,Medium,Medium,Medium,Medium,Low,Medium,Low,High,N,yes
High,Medium,Medium,Medium,Low,Low,High,Low,High,E,yes
High,Medium,Medium,Medium,Medium,Low,Low,High,High,E,yes
High,Medium,Medium,Medium,Medium,Low,Low,High,Medium,E,no
Medium,Medium,Medium,Medium,Medium,Low,Low,High,Low,E,no
Medium,Medium,Medium,Medium,Medium,Low,Low,High,Low,N,no
Medium,High,Medium,Medium,Medium,Low,Low,High,Low,E,no
Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Medium,N,no
Low,Medium,Medium,Medium,Low,Low,Medium,High,Medium,N,no
Medium,Medium,Medium,Medium,Medium,Low,Low,Medium,Low,N,yes
Medium,Medium,Medium,Medium,Medium,Low,Low,High,Medium,E,yes
High,Medium,Medium,Medium,Medium,Low,Medium,Medium,High,E,yes
High,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,E,yes
High,Medium,Medium,Medium,Medium,Medium,Low,High,Medium,E,yes
High,Medium,Medium,Medium,Medium,Medium,Low,High,Medium,E,no
High,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,E,yes
High,Medium,Medium,Medium,Low,Low,Low,Medium,High,N,no
High,Medium,Medium,Low,Low,Low,Medium,High,Medium,N,yes
Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,E,yes
Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,E,yes
Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,E,yes
Medium,Medium,Medium,Medium,Medium,Medium,Low,High,Low,E,yes
High,Medium,Medium,Medium,Medium,Medium,High,Low,High,E,yes
High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,E,yes
Medium,Medium,Medium,Medium,Medium,High,High,Low,High,E,yes
Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,N,yes
Medium,Medium,Medium,Medium,Medium,High,Medium,Low,High,E,yes
Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,E,yes
Medium,Medium,Medium,Medium,Medium,High,Low,High,Medium,E,no
Medium,Medium,Medium,Medium,Medium,Medium,Low,High,Low,E,no
High,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,E,yes
High,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,E,no
High,Medium,Medium,Medium,Medium,Medium,Low,High,High,E,yes
Medium,Medium,Medium,Medium,Medium,Medium,Low,High,Medium,E,no
Medium,Medium,Medium,Medium,Medium,Low,Low,High,High,E,yes
High,Medium,Medium,Low,Low,Low,Low,High,High,N,no
High,Low,Low,Low,Low,Low,Low,Medium,High,N,no
High,Medium,Medium,Medium,Low,Low,Low,High,Medium,E,no
High,Medium,Medium,Medium,Low,Low,Low,Medium,Medium,E,yes
High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,E,no
High,Low,Low,Low,Low,Low,High,Low,High,E,yes
Medium,Low,Low,Low,Low,High,Medium,Medium,Low,N,yes
Medium,Low,Low,Low,Low,Low,Medium,Medium,Medium,E,no
Medium,Low,Low,Low,Low,Medium,High,Low,High,E,no
Medium,Low,Low,Low,Low,Medium,Medium,Low,High,E,yes
Medium,Low,Low,Low,Low,Medium,Medium,Low,Medium,E,yes
High,Low,Low,Low,Low,Low,Medium,Medium,High,N,yes
High,Low,Low,Low,Low,Low,Medium,Medium,High,N,no
High,Low,Low,Low,Low,Medium,High,Medium,Medium,E,yes
High,Low,Low,Low,Medium,High,Medium,Low,Low,N,yes
High,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,N,yes
High,Low,Low,Low,Low,Medium,High,Low,Medium,N,yes
High,Low,Low,Low,Low,Low,Medium,Low,High,N,yes
High,Low,Low,Low,Low,Low,Medium,Medium,High,E,yes
High,Low,Low,Low,Low,Medium,High,Medium,Medium,N,yes
High,Low,Low,Low,Low,Low,Low,Medium,Medium,N,no
